2025-06-04T17:25:21Z | Firewall | ALLOW | user=admin | ip=192.168.34.183
2025-06-04T17:25:22Z | Endpoint | VPN_CONNECTED | user=charlie | ip=192.168.59.16
2025-06-04T17:25:23Z | AuthSystem | VPN_CONNECTED | user=eve | ip=192.168.216.195
2025-06-04T17:25:25Z | Firewall | VPN_DISCONNECTED | user=charlie | ip=192.168.94.112
2025-06-04T17:25:26Z | AuthSystem | PRIV_ESC_ATTEMPT | user=alice | ip=192.168.6.116
2025-06-04T17:25:27Z | Firewall | LOGIN_SUCCESS | user=eve | ip=192.168.228.228
2025-06-04T17:25:29Z | WebServer | VPN_DISCONNECTED | user=bob | ip=192.168.250.23
2025-06-04T17:25:30Z | Endpoint | ALLOW | user=alice | ip=192.168.23.151
2025-06-04T17:25:32Z | AuthSystem | MALWARE_DETECTED | user=bob | ip=192.168.17.86
2025-06-04T17:25:33Z | WebServer | DENY | user=bob | ip=192.168.202.129
2025-06-04T17:25:34Z | VPN | MALWARE_DETECTED | user=eve | ip=192.168.242.56
2025-06-04T17:25:36Z | WebServer | MALWARE_DETECTED | user=bob | ip=192.168.218.29
2025-06-04T17:25:36Z | WebServer | VPN_DISCONNECTED | user=admin | ip=192.168.89.39
2025-06-04T17:25:37Z | WebServer | ALLOW | user=eve | ip=192.168.37.179
2025-06-04T17:25:38Z | Endpoint | DENY | user=admin | ip=192.168.125.23
2025-06-04T17:25:39Z | Endpoint | PRIV_ESC_ATTEMPT | user=alice | ip=192.168.27.240
2025-06-04T17:25:40Z | VPN | PRIV_ESC_ATTEMPT | user=alice | ip=192.168.105.124
2025-06-04T17:25:42Z | WebServer | LOGIN_SUCCESS | user=alice | ip=192.168.134.222
2025-06-04T17:25:43Z | Endpoint | MALWARE_DETECTED | user=eve | ip=192.168.177.148
2025-06-04T17:25:45Z | AuthSystem | PORT_SCAN_DETECTED | user=eve | ip=192.168.185.98
2025-06-04T17:25:46Z | Endpoint | VPN_CONNECTED | user=bob | ip=192.168.82.77
2025-06-04T17:25:48Z | Endpoint | PRIV_ESC_ATTEMPT | user=alice | ip=192.168.16.234
2025-06-04T17:25:49Z | Endpoint | LOGIN_FAILURE | user=charlie | ip=192.168.215.77
2025-06-04T17:25:51Z | VPN | PORT_SCAN_DETECTED | user=admin | ip=192.168.14.22
2025-06-04T17:25:53Z | VPN | DENY | user=admin | ip=192.168.201.136
2025-06-04T17:25:53Z | AuthSystem | DENY | user=bob | ip=192.168.237.85
2025-06-04T17:25:54Z | AuthSystem | LOGIN_FAILURE | user=admin | ip=192.168.223.77
2025-06-04T17:25:55Z | AuthSystem | LOGIN_FAILURE | user=bob | ip=192.168.51.157
2025-06-04T17:25:56Z | Firewall | VPN_DISCONNECTED | user=alice | ip=192.168.77.65
2025-06-04T17:25:57Z | WebServer | ALLOW | user=eve | ip=192.168.67.188
2025-06-04T17:25:58Z | AuthSystem | PRIV_ESC_ATTEMPT | user=bob | ip=192.168.132.1
2025-06-04T17:26:00Z | Endpoint | VPN_CONNECTED | user=charlie | ip=192.168.81.199
2025-06-04T17:26:01Z | VPN | LOGIN_SUCCESS | user=eve | ip=192.168.163.109
2025-06-04T17:26:03Z | WebServer | DENY | user=eve | ip=192.168.149.167
2025-06-04T17:26:05Z | AuthSystem | DENY | user=admin | ip=192.168.56.98
2025-06-04T17:26:06Z | VPN | LOGIN_FAILURE | user=alice | ip=192.168.247.47
2025-06-04T17:26:07Z | Firewall | LOGIN_SUCCESS | user=admin | ip=192.168.166.124
2025-06-04T17:26:08Z | WebServer | VPN_DISCONNECTED | user=eve | ip=192.168.113.193
2025-06-04T17:26:09Z | AuthSystem | MALWARE_DETECTED | user=alice | ip=192.168.219.131
2025-06-04T17:26:11Z | AuthSystem | PRIV_ESC_ATTEMPT | user=admin | ip=192.168.103.74
2025-06-04T17:26:13Z | Firewall | LOGIN_SUCCESS | user=bob | ip=192.168.155.251
2025-06-04T17:26:13Z | VPN | PORT_SCAN_DETECTED | user=alice | ip=192.168.102.118
2025-06-04T17:26:15Z | WebServer | LOGIN_SUCCESS | user=admin | ip=192.168.160.5
2025-06-04T17:26:16Z | WebServer | VPN_CONNECTED | user=alice | ip=192.168.42.176
2025-06-04T17:26:18Z | WebServer | VPN_CONNECTED | user=eve | ip=192.168.4.42
2025-06-04T17:26:18Z | VPN | VPN_DISCONNECTED | user=charlie | ip=192.168.178.114
2025-06-04T17:26:19Z | WebServer | LOGIN_FAILURE | user=alice | ip=192.168.84.49
2025-06-04T17:26:20Z | WebServer | DENY | user=alice | ip=192.168.203.199
